system:index,NDVI,bagil_nem,etiket,sicaklik,yagis,.geo
33_0,3212.1363636363635,57.96867348714601,316,15093.468531468532,1.5090059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.643155883110147,40.1771510822456]}"
39_0,3804.2662337662337,43.76333109081706,307,15056.777702243371,1.002451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34097177009604,37.32050847874552]}"
64_0,6615.733766233766,59.588857746294124,215,14892.43706514864,2.7179642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.885701009822416,36.754569849750226]}"
109_0,3793.6623376623374,45.49906606095638,331,15021.251968503937,0.8434548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.2331739360017,37.61695252250497]}"
140_0,3201.714285714286,44.78116965108223,255,15363.176319176318,1.6236503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.785135440819545,37.41034000715747]}"
217_0,3317.0,44.99319276564109,261,15441.241610738254,1.7378211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.614455536836836,37.98526178899397]}"
342_0,4322.720779220779,39.18991111668714,182,15243.596674876848,1.1275201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55731353620313,37.293559020221934]}"
348_0,3751.785714285714,40.81466735102184,286,15418.719816272966,1.6576294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.64427502998775,38.155941692976675]}"
369_0,2973.8376623376626,54.764965451847104,30,15004.645436638215,0.9431257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.70753014883532,38.95544229584305]}"
394_0,2578.194805194805,57.454909149097645,232,15206.654804270464,1.1819224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.741970564363292,37.81458188501126]}"
445_0,5745.805194805195,69.72375448806353,182,15012.859673024523,2.2899194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.72113422405357,36.206597526437314]}"
488_0,4318.688311688312,62.86397712419735,210,14995.504283965729,1.6925985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.27808970020767,36.14371545654895]}"
565_0,2764.7272727272725,49.77704720173301,270,15449.089895470383,1.1038905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.72188032197197,37.43728946568106]}"
577_0,4401.948051948052,62.59123687844495,290,14797.002365930599,1.5680827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.271230484075407,40.86885385101763]}"
597_0,2308.418300653595,64.2442777642817,258,15341.978169605374,0.9406714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.46211498749572,39.6201956060915]}"
